Model_Name,Rank,Doc_Index,Similarity_Score
word2vec_cbow_w2_d100_lemma.model,1,118,0.9057
word2vec_cbow_w2_d100_lemma.model,2,1062,0.8893
word2vec_cbow_w2_d100_lemma.model,3,636,0.8832
word2vec_cbow_w2_d100_lemma.model,4,1009,0.8831
word2vec_cbow_w2_d100_lemma.model,5,920,0.8813
word2vec_cbow_w2_d100_stem.model,1,118,0.8982
word2vec_cbow_w2_d100_stem.model,2,1062,0.8919
word2vec_cbow_w2_d100_stem.model,3,920,0.8815
word2vec_cbow_w2_d100_stem.model,4,891,0.881
word2vec_cbow_w2_d100_stem.model,5,805,0.8786
word2vec_cbow_w2_d300_lemma.model,1,118,0.9055
word2vec_cbow_w2_d300_lemma.model,2,1062,0.893
word2vec_cbow_w2_d300_lemma.model,3,805,0.8819
word2vec_cbow_w2_d300_lemma.model,4,1009,0.8814
word2vec_cbow_w2_d300_lemma.model,5,920,0.8807
word2vec_cbow_w2_d300_stem.model,1,118,0.902
word2vec_cbow_w2_d300_stem.model,2,1062,0.8954
word2vec_cbow_w2_d300_stem.model,3,920,0.8842
word2vec_cbow_w2_d300_stem.model,4,805,0.8807
word2vec_cbow_w2_d300_stem.model,5,851,0.8798
word2vec_cbow_w4_d100_lemma.model,1,118,0.8962
word2vec_cbow_w4_d100_lemma.model,2,1062,0.8733
word2vec_cbow_w4_d100_lemma.model,3,33,0.8616
word2vec_cbow_w4_d100_lemma.model,4,4,0.857
word2vec_cbow_w4_d100_lemma.model,5,891,0.8515
word2vec_cbow_w4_d100_stem.model,1,118,0.8781
word2vec_cbow_w4_d100_stem.model,2,1062,0.8756
word2vec_cbow_w4_d100_stem.model,3,33,0.8591
word2vec_cbow_w4_d100_stem.model,4,920,0.8565
word2vec_cbow_w4_d100_stem.model,5,4,0.8529
word2vec_cbow_w4_d300_lemma.model,1,118,0.8903
word2vec_cbow_w4_d300_lemma.model,2,1062,0.8728
word2vec_cbow_w4_d300_lemma.model,3,33,0.8556
word2vec_cbow_w4_d300_lemma.model,4,920,0.8546
word2vec_cbow_w4_d300_lemma.model,5,4,0.8521
word2vec_cbow_w4_d300_stem.model,1,118,0.8874
word2vec_cbow_w4_d300_stem.model,2,1062,0.8779
word2vec_cbow_w4_d300_stem.model,3,33,0.8716
word2vec_cbow_w4_d300_stem.model,4,4,0.8691
word2vec_cbow_w4_d300_stem.model,5,32,0.8615
word2vec_sg_w2_d100_lemma.model,1,1062,0.9067
word2vec_sg_w2_d100_lemma.model,2,118,0.904
word2vec_sg_w2_d100_lemma.model,3,4,0.9033
word2vec_sg_w2_d100_lemma.model,4,187,0.8998
word2vec_sg_w2_d100_lemma.model,5,33,0.8984
word2vec_sg_w2_d100_stem.model,1,118,0.9067
word2vec_sg_w2_d100_stem.model,2,4,0.9042
word2vec_sg_w2_d100_stem.model,3,1062,0.9017
word2vec_sg_w2_d100_stem.model,4,33,0.9012
word2vec_sg_w2_d100_stem.model,5,920,0.8989
word2vec_sg_w2_d300_lemma.model,1,1062,0.8908
word2vec_sg_w2_d300_lemma.model,2,187,0.8854
word2vec_sg_w2_d300_lemma.model,3,118,0.8832
word2vec_sg_w2_d300_lemma.model,4,4,0.8823
word2vec_sg_w2_d300_lemma.model,5,920,0.8786
word2vec_sg_w2_d300_stem.model,1,187,0.8917
word2vec_sg_w2_d300_stem.model,2,4,0.8916
word2vec_sg_w2_d300_stem.model,3,1062,0.8915
word2vec_sg_w2_d300_stem.model,4,118,0.8914
word2vec_sg_w2_d300_stem.model,5,33,0.8887
word2vec_sg_w4_d100_lemma.model,1,118,0.888
word2vec_sg_w4_d100_lemma.model,2,1062,0.8866
word2vec_sg_w4_d100_lemma.model,3,4,0.8847
word2vec_sg_w4_d100_lemma.model,4,187,0.8816
word2vec_sg_w4_d100_lemma.model,5,100,0.8753
word2vec_sg_w4_d100_stem.model,1,118,0.8954
word2vec_sg_w4_d100_stem.model,2,1062,0.8942
word2vec_sg_w4_d100_stem.model,3,4,0.8924
word2vec_sg_w4_d100_stem.model,4,187,0.8919
word2vec_sg_w4_d100_stem.model,5,92,0.8885
word2vec_sg_w4_d300_lemma.model,1,1062,0.873
word2vec_sg_w4_d300_lemma.model,2,4,0.8692
word2vec_sg_w4_d300_lemma.model,3,118,0.8687
word2vec_sg_w4_d300_lemma.model,4,187,0.866
word2vec_sg_w4_d300_lemma.model,5,33,0.8588
word2vec_sg_w4_d300_stem.model,1,4,0.8701
word2vec_sg_w4_d300_stem.model,2,1062,0.8689
word2vec_sg_w4_d300_stem.model,3,187,0.8683
word2vec_sg_w4_d300_stem.model,4,118,0.8673
word2vec_sg_w4_d300_stem.model,5,33,0.8653
